City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Puerto Del Rosario,ES,2021-07-22 14:32:26,28.5004,-13.8627,82.15,51,20,23.02
260,Ellsworth,US,2021-07-22 14:32:26,44.5434,-68.4195,69.15,81,90,5.99
261,Svetlogorsk,BY,2021-07-22 14:32:26,52.6333,29.7333,73.94,39,3,9.6
262,Pisco,PE,2021-07-22 14:32:27,-13.7,-76.2167,61.02,82,90,3.44
263,Samana,DO,2021-07-22 14:32:02,19.2056,-69.3369,80.82,89,40,0.0
264,Poum,NC,2021-07-22 14:32:27,-20.2333,164.0167,70.86,73,15,11.88
265,Salina,US,2021-07-22 14:32:27,38.8403,-97.6114,78.19,69,1,12.66
266,Wahiawa,US,2021-07-22 14:32:27,21.5028,-158.0236,75.52,80,90,0.0
267,Lahat,ID,2021-07-22 14:32:28,-3.8,103.5333,74.41,94,83,3.44
268,Ribeirao Branco,BR,2021-07-22 14:32:28,-24.2208,-48.7656,64.98,36,0,5.77
269,Iquitos,PE,2021-07-22 14:32:28,-3.7481,-73.2472,80.64,69,0,9.22
270,Dudinka,RU,2021-07-22 14:32:28,69.4058,86.1778,59.0,96,100,10.74
271,Cervo,ES,2021-07-22 14:32:29,43.6702,-7.4101,70.97,78,57,7.14
272,Say,NE,2021-07-22 14:32:29,13.1007,2.3689,95.56,31,67,5.7
273,Mahebourg,MU,2021-07-22 14:32:29,-20.4081,57.7,71.89,68,20,12.66
274,Te Anau,NZ,2021-07-22 14:32:29,-45.4167,167.7167,36.3,92,32,0.67
275,Vysokogornyy,RU,2021-07-22 14:32:29,50.1167,139.15,68.34,96,19,2.04
276,Belomorsk,RU,2021-07-22 14:28:55,64.5232,34.7668,63.32,46,89,10.31
277,Puyang,CN,2021-07-22 14:32:30,29.4603,119.8861,75.0,97,43,4.7
278,Benicarlo,ES,2021-07-22 14:32:30,40.4165,0.4271,98.24,53,0,11.97
279,Namibe,AO,2021-07-22 14:32:30,-15.1961,12.1522,76.41,48,0,10.36
280,Sile,TR,2021-07-22 14:32:30,41.1754,29.6133,81.72,51,87,5.01
281,Yate,GB,2021-07-22 14:32:30,51.5407,-2.4184,87.82,47,45,1.01
282,Awbari,LY,2021-07-22 14:32:31,26.5921,12.7805,99.61,12,0,10.4
283,Kundiawa,PG,2021-07-22 14:32:31,-6.0167,144.9667,61.81,97,100,2.17
284,Roebourne,AU,2021-07-22 14:32:31,-20.7833,117.1333,73.92,36,6,10.76
285,Veraval,IN,2021-07-22 14:32:31,20.9,70.3667,82.99,86,100,19.55
286,Tura,IN,2021-07-22 14:32:32,25.5198,90.2201,75.29,97,89,4.16
287,Mount Isa,AU,2021-07-22 14:32:32,-20.7333,139.5,56.97,51,100,0.0
288,Codrington,AU,2021-07-22 14:32:32,-38.2667,141.9667,43.12,93,100,12.03
289,Mount Gambier,AU,2021-07-22 14:32:33,-37.8333,140.7667,40.91,100,90,11.5
290,Wakkanai,JP,2021-07-22 14:32:33,45.4094,141.6739,68.18,97,100,9.95
291,Camana,PE,2021-07-22 14:32:33,-16.6228,-72.7111,64.47,74,58,6.13
292,Broome,US,2021-07-22 14:32:34,42.2506,-75.833,70.43,83,1,1.01
293,Makakilo City,US,2021-07-22 14:32:34,21.3469,-158.0858,77.32,71,1,0.0
294,Simdega,IN,2021-07-22 14:32:34,22.6167,84.5167,79.72,86,27,5.91
295,Rio Bravo,MX,2021-07-22 14:32:35,25.9833,-98.1,83.05,67,12,10.11
